interaction,known issues,doi,parameter file LAMMPS,library file LAMMPS,parameter file csme,library file csme
Cr,,10.1103/physrevb.64.184102,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Cr/1/Cr.meam,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Cr/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/Cr.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
Fe,,10.1103/physrevb.64.184102,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Fe/1/Fe.meam,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Fe/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/Fe.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
Mo,,10.1103/physrevb.64.184102,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Mo/1/Mo.meam,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Mo/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/Mo.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
Nb,,10.1103/physrevb.64.184102,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Nb/1/Nb.meam,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Nb/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/Nb.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
Ta,,10.1103/physrevb.64.184102,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Ta/1/Ta.meam,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--Ta/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/Ta.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
V,,10.1103/physrevb.64.184102,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--V/1/V.meam,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--V/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/V.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
W,,10.1103/physrevb.64.184102,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--W/1/W.meam,2001--Lee-B-J-Baskes-M-I-Kim-H-Cho-Y-K--W/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/W.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
Fe-Cr,,10.1016/s0364-5916(02)00005-6,2001--Lee-B-J-Shim-J-H-Park-H-M--Fe-Cr/1/FeCr.meam,2001--Lee-B-J-Shim-J-H-Park-H-M--Fe-Cr/1/library.meam,Generated,Generated
Ag,,10.1103/PhysRevB.68.144112,2003--Lee-B-J-Shim-J-H-Baskes-M-I--Ag/1/Ag.meam,2003--Lee-B-J-Shim-J-H-Baskes-M-I--Ag/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/Ag.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
Al,,10.1103/PhysRevB.68.144112,2003--Lee-B-J-Shim-J-H-Baskes-M-I--Al/1/Al.meam,2003--Lee-B-J-Shim-J-H-Baskes-M-I--Al/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/Al.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
Au,,10.1103/PhysRevB.68.144112,2003--Lee-B-J-Shim-J-H-Baskes-M-I--Au/1/Au.meam,2003--Lee-B-J-Shim-J-H-Baskes-M-I--Au/1/library.meam,"29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/Au.meam","29 Potential parameter files for Fe, Cr, Mo, W, V, Nb, Ta, Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Ti, Zr, C, Si, Ge, Y, and, In unary systems/library.meam"
