El1,El2,Sym1,Sym2,DOI,Ref.St,delta_Ec,Re,B,B*,alpha,d+,d-,Cmin_iji,Cmin_jij,Cmin_iij,Cmin_ijj,Cmax_iji,Cmax_jij,Cmax_iij,Cmax_ijj,Rcut,Au
Ag,Cu,Ag,Cu,10.1016/j.scriptamat.2009.07.002,FCC_B1,0.3460,2.5340,0.725000,,,0.0500,0.0500,1.3800,1.2100,1.2936,1.2936,2.8000,2.8000,2.8000,2.8000,4.5,IY
Al,H,Al,H,10.1557/jmr.2011.95,FCC_B1,0.6800,1.8750,0.700000,,,0.0250,0.0250,0.6400,0.0900,0.4900,0.4900,2.8000,2.8000,2.8000,1.4400,4.7,WS
Al,Mg,Al,Mg,10.1016/j.calphad.2009.07.004,L12A3B,-0.0050,2.9510,0.380000,,,0.0375,0.0375,0.4900,0.4900,0.3600,0.3600,2.8000,2.8000,2.8000,2.8000,4.8,YM
Al,Ni,Al,Ni,10.1016/j.calphad.2006.02.006,BCC_B2,-0.6257,2.4916,0.986100,,,0.0500,0.0500,0.4900,1.6000,0.6400,0.6400,2.8000,2.8000,2.8000,1.4400,4.8,BJ
Al,Ti,Al,Ti,10.1016/j.commatsci.2016.03.038,BCC_B2,-0.2600,2.8000,0.890000,,,0.0250,0.0250,0.4900,1.3000,0.7225,0.4600,1.4400,2.8000,2.8000,1.4400,5.0,
Al,V,Al,V,10.1016/j.memsci.2012.12.019,FCC_B1,0.3700,2.6780,0.737000,,,0.0250,0.0250,0.3600,0.4900,0.4900,0.2500,2.8000,2.8000,2.8000,2.8000,4.5,HS
Ca,Mg,Ca,Mg,10.1016/j.calphad.2014.10.001,FCC_B1,0.3450,3.3115,0.112500,,,0.0000,0.0000,0.3600,0.3600,1.0000,1.0000,2.8000,2.8000,2.8000,2.8000,6.0,KK
Ca,Zn,Ca,Zn,10.1016/j.calphad.2019.101674,FCC_B1,0.1800,3.0100,0.150000,,,0.0500,0.0500,0.7700,1.5000,2.3000,2.0000,2.2000,2.8000,2.8000,2.3000,6.0,
Co,Al,Co,Al,10.1016/j.calphad.2012.04.001,BCC_B2,-0.5650,2.4768,1.011200,,,0.0250,0.0250,0.4900,1.1000,0.4900,0.4900,2.0000,2.8000,2.8000,2.8000,4.5,DW
Co,Cr,Co,CR,10.1016/j.commatsci.2017.01.002,BCC_B2,0.0800,2.4400,1.201050,,,0.0100,0.0500,0.4900,0.7300,2.0000,2.0000,2.8000,2.8000,2.8000,2.8000,4.0,
Co,Fe,Co,Fe,10.1016/j.commatsci.2017.01.002,BCC_B2,-0.0900,2.4727,1.355410,,,0.0250,0.0250,0.1000,0.2000,0.2000,0.2000,1.4400,2.8000,2.8000,2.8000,4.0,
Co,Mn,Co,Mn,10.1016/j.commatsci.2017.01.002,FCC_B1,0.4500,2.3391,0.716400,,,0.0000,0.0000,0.4900,0.1600,0.3000,0.3000,2.8000,2.8000,2.8000,2.8000,4.5,
Cr,Fe,CR,Fe,,BCC_B2,0.0970,2.4875,1.174700,,,0.0350,0.0750,0.7100,0.3600,0.5200,0.5200,2.8000,2.8000,2.8000,2.8000,4.0,BJ
Cr,Mn,CR,Mn,10.1016/j.commatsci.2017.01.002,BCC_B2,-0.0250,2.5125,1.018200,,,0.0100,0.0500,0.6400,1.0000,0.8100,0.8100,2.8000,2.8000,1.4400,2.8000,4.0,
Cu,Co,Cu,Co,10.1016/j.commatsci.2020.109627,L12A3B,0.1300,2.5550,0.968600,,,0.0375,0.0375,1.1000,0.7000,0.8100,0.8100,2.8000,2.0000,2.3800,2.3800,3.7,JH
Cu,Co,Cu,Co,10.1557/jmr.2002.0135,L12A3B,0.1150,2.5550,,,,0.0375,0.0375,1.2100,0.4900,0.8100,0.8100,2.8000,2.8000,2.8000,2.8000,3.7,JH
Cu,H,Cu,HH,10.1007/s11661-014-2230-4,ZnS_B3,0.1000,1.9000,0.490000,,,0.0250,0.0250,0.6400,0.3500,0.7400,0.0900,2.8000,2.8000,2.8000,1.4400,4.0,BM
Cu,Mo,Cu,MO,10.1016/j.commatsci.2020.109627,BCC_B2,1.0800,2.7296,1.271000,,,0.0250,0.0250,1.2100,0.8200,1.0100,1.0100,2.8000,2.8000,2.8000,2.8000,6.0,
Cu,Pt,Cu,Pt,10.1016/j.calphad.2017.09.005,L12A3B,-0.1114,2.6200,0.992000,,,0.0500,0.0500,1.2100,1.5300,1.3653,1.3653,2.8000,2.8000,2.8000,2.8000,4.5,
Fe,Al,Fe,Al,10.1088/0953-8984/22/17/175702,L12A3B,-0.1800,2.5900,,,,0.0500,0.0500,0.3600,1.2100,1.0000,0.4225,2.8000,2.8000,2.8000,2.8000,4.0,EK
Fe,C,Fe,C,10.1016/S0364-5916(02)00005-6,L12A3B,0.9500,2.3640,1.650000,,,0.0375,0.0375,0.3600,0.1600,0.1600,0.1600,2.8000,1.4400,2.8000,2.8000,3.6,BJ
Fe,Cr,Fe,Cr,10.1016/S0364-5916(02)00005-6,BCC_B2,0.0970,,,,,0.0250,0.0250,0.3600,0.7800,0.5500,0.5500,2.8000,2.8000,2.8000,2.8000,4.0,BJ
Fe,Cu,Fe,Cu,10.1103/physrevb.71.184205,L12A3B,0.1580,2.5700,1.027300,,,0.0500,0.0500,0.3600,1.2100,0.7225,0.7225,2.8000,2.8000,2.8000,2.8000,4.0,BJ
Fe,H,Fe,H,10.1016/j.actamat.2007.08.041,FCC_B1,0.1640,1.8350,1.841100,,,0.0250,0.0250,0.3600,2.0000,2.1500,,1.4400,2.8000,2.8000,2.8000,3.6,BJ
Fe,Mn,Fe,Mn,10.1016/j.actamat.2008.09.031,BCC_B2,0.0000,2.4990,,,,0.0250,0.0250,0.6400,0.6400,0.4900,0.4900,2.8000,2.8000,2.8000,2.8000,4.0,YM
Fe,N,Fe,N,10.1016/j.actamat.2005.09.034,FCC_B1,0.7000,2.0900,1.370000,,,0.0250,0.0250,0.1600,0.1600,0.1600,,1.4400,2.8000,2.8000,2.8000,3.6,BJ
Fe,P,Fe,P,10.1088/0953-8984/24/22/225002,BCC_B2,-0.4200,2.4350,1.250000,,,0.0250,0.0250,0.3600,1.0000,0.7600,2.0000,2.8000,2.0000,2.0000,2.8000,4.5,WS
Fe,Ti,Fe,Ti,10.1016/j.scriptamat.2008.05.007,BCC_B2,-0.2200,2.5800,1.179600,,,0.0250,0.0250,1.2100,0.7800,0.6400,0.6400,2.8000,2.8000,2.8000,2.8000,4.8,IY
Ga,In,Ga,In,10.1088/0953-8984/21/32/325801,FCC_B1,-0.1355,,,,,0.0735,0.0735,1.4000,0.7800,,2.3000,2.8000,2.8000,2.8000,2.8000,5.2,EC
Ga,N,Ga,NN,10.1088/0953-8984/21/32/325801,ZnS_B3,-0.5600,1.9400,1.248200,,,0.0000,0.0000,1.4000,2.0000,,2.0000,2.8000,2.8000,2.8000,2.8000,5.2,EC
In,N,In,NN,10.1088/0953-8984/21/32/325801,ZnS_B3,-0.1650,2.1564,0.861300,,,0.0000,0.0000,1.5000,2.0000,,2.0000,2.8000,2.8000,2.8000,2.8000,5.2,EC
Li,Mg,Li,Mg,10.1088/0965-0393/20/3/035005,BCC_B2,-0.0400,2.9500,0.130000,,,0.0250,0.0250,0.1600,0.8100,0.3025,0.3025,2.8000,2.8000,1.4400,2.8000,4.8,YM
Mg,Li,Mg,Li,10.1088/0965-0393/20/3/035005,BCC_B2,-0.0400,2.9500,0.130000,,,0.0250,0.0250,0.8100,0.1600,0.3025,0.3025,2.8000,2.8000,2.8000,1.4400,4.8,YM
Mg,Nd,Mg,Nd,10.1016/j.calphad.2017.03.003,BCC_B2,-0.1300,3.3645,0.238000,,,0.0000,0.0000,0.4000,0.6000,0.2000,0.2000,1.2000,1.4000,2.0000,2.8000,6.0,
Mg,Pb,Mg,Pb,10.1016/j.calphad.2017.03.003,FCC_B1,0.2850,3.0840,0.168000,,,0.0000,0.0000,1.0000,0.7000,0.2000,1.0000,1.5000,2.8000,1.2000,2.8000,6.0,
Mg,Sn,Mg,Sn,10.1016/j.calphad.2014.10.001,FCC_B1,0.4980,3.1550,0.230000,,,0.0000,0.0000,0.1600,1.0000,1.0000,0.6400,2.8000,2.8000,2.8000,2.8000,6.0,KK
Mg,Y,Mg,Y,10.1016/j.calphad.2014.10.001,BCC_B2,-0.1295,3.2575,0.280000,,,0.0000,0.0000,0.4900,0.4225,0.4225,0.4225,2.0000,2.0000,2.0000,2.0000,6.0,KK
Nb,C,Nb,C,10.1557/jmr.2010.0182,FCC_B1,-0.7300,2.2800,2.122100,,,0.0000,0.0000,0.4900,0.6400,2.0000,2.0000,1.4400,2.8000,2.8000,2.8000,4.5,HK
Nb,Fe,Nb,Fe,10.1016/j.scriptamat.2008.05.007,L12A3B,0.0450,2.8370,1.079700,,,0.0125,0.0125,0.3600,1.0000,0.3600,0.3600,2.8000,2.8000,2.8000,2.8000,4.0,IY
Nb,N,Nb,N,10.1557/jmr.2010.0182,FCC_B1,-1.2300,2.1975,2.210000,,,0.0000,0.0000,0.3600,0.8100,1.0143,1.0143,2.0000,2.8000,2.8000,2.8000,4.5,HK
Ni,Al,Ni,Al,10.1016/j.calphad.2006.02.006,BCC_B2,-0.6257,2.4916,0.986100,,,0.0500,0.0500,1.6000,0.4900,0.6400,0.6400,2.8000,2.8000,1.4400,2.8000,4.8,BJ
Ni,Co,Ni,Co,10.1088/0965-0393/23/5/055004,BCC_B2,0.1200,2.4300,1.170000,,,0.0250,0.0250,0.8100,0.4900,0.6400,0.6400,2.8000,2.8000,2.8000,2.8000,4.0,
Ni,Cr,Ni,CR,10.1016/j.calphad.2017.03.007,L12A3B,0.0200,2.5050,1.174700,,,0.0425,0.0625,0.8100,1.0000,0.7590,0.7590,2.8000,2.8000,2.8000,2.8000,4.0,
Ni,Cu,Ni,Cu,10.1016/j.calphad.2004.06.001,L12A3B,0.0300,,1.099230,,,0.0500,0.0500,0.8100,1.2100,1.0000,1.0000,2.8000,2.8000,2.8000,2.8000,4.0,BJ
Ni,Fe,Ni,Fe,10.1016/j.calphad.2017.03.007,L12A3B,-0.0860,2.5130,1.148000,,,0.0500,0.0500,0.6300,0.3600,0.5625,0.5625,1.4400,1.4400,2.8000,2.8000,4.0,BJ
Ni,Fe,Ni,Fe,,L12A3B,-0.0750,,1.146700,,,0.0500,0.0500,0.8100,0.3600,0.5625,0.5625,2.8000,2.8000,2.8000,2.8000,4.0,BJ
Ni,H,Ni,H,10.1557/jmr.2011.95,FCC_B1,0.0400,1.8650,1.080000,,,0.0250,0.0250,0.0400,0.4900,1.8000,1.3389,2.0000,2.8000,2.8000,2.8000,4.0,WS
Ni,Mn,Ni,Mn,10.1016/j.commatsci.2017.01.002,L12A3B,-0.1223,2.5180,1.090600,,,0.0375,0.0375,0.7400,0.9800,0.4200,0.4200,2.8000,2.8000,2.8000,2.8000,4.0,
Ni,Pt,Ni,Pt,10.1016/j.calphad.2017.09.005,L12A3B,-0.1126,2.5668,1.288000,,,0.0500,0.0500,0.6000,1.5300,0.6000,,2.4000,2.8000,1.4400,2.8000,4.5,
Ni,Ti,Ni,Ti,10.1016/j.commatsci.2017.08.002,BCC_B2,-0.3520,2.5700,0.886300,,,0.0250,0.0250,0.6800,0.3600,0.4400,0.2300,1.4400,1.4400,1.4400,1.4400,5.0,
Ni,V,Ni,V,10.1016/j.memsci.2012.12.019,L12A3B,-0.0950,2.5480,1.280000,,,0.0375,0.0375,0.8100,1.0000,1.0000,1.0000,2.8000,1.4400,1.4400,1.4400,4.0,KK
Ni,W,Ni,W,10.1557/JMR.2003.0260,L12A3B,-0.0800,2.5570,1.990400,,,0.0375,0.0375,0.8100,0.5200,2.2500,2.2500,2.8000,2.8000,2.8000,2.8000,4.5,JH
Pd,Al,Pd,Al,10.1016/j.calphad.2018.06.006,BCC_B2,-0.6100,2.5800,1.000000,,,0.0500,0.0500,0.3000,0.3000,1.0000,1.0000,2.8000,1.4400,1.4400,2.8000,4.5,
Pd,C,Pd,C,10.1016/j.commatsci.2020.109946,ZnS_B3,0.0150,2.1300,1.781000,,,0.0400,-0.0100,1.8000,0.0300,0.3700,1.0900,2.6300,1.4700,2.7500,1.7900,4.5,
Pd,Co,Pd,Co,10.1016/j.calphad.2018.06.006,FCC_B1,0.4700,2.5100,1.217900,,,0.0250,0.0250,0.6700,0.7900,1.0000,1.0000,2.0000,1.4400,2.8000,2.8000,4.5,
Pd,Cu,Pd,Cu,10.1016/j.calphad.2018.06.006,BCC_B2,-0.1620,2.5460,1.053150,,,0.0500,0.0500,0.4900,0.2500,1.4400,1.4400,2.0000,2.0000,2.8000,2.8000,4.5,
Pd,Fe,Pd,Fe,10.1016/j.calphad.2018.06.006,L12A3B,-0.0900,2.7200,1.105400,,,0.0500,0.0500,1.6900,0.0100,1.8000,2.0000,2.8000,1.4400,2.8000,2.8000,4.5,
Pd,Mo,Pd,MO,10.1016/j.calphad.2018.06.006,BCC_B2,0.0500,2.6950,1.437900,,,0.0250,0.0250,1.0000,0.8200,1.2200,1.2200,2.0000,2.8000,2.8000,2.8000,4.5,
Pd,Ni,Pd,Ni,10.1016/j.calphad.2018.06.006,FCC_B1,0.4550,2.4700,0.829900,,,0.0500,0.0500,1.6900,0.8100,1.2100,1.2100,2.8000,2.8000,2.8000,2.8000,4.5,
