El,Sym,DOI,Ref.St,mass,Ec,Re,B,B*,alpha,A,beta(0),beta(1),beta(2),beta(3),t(1),t(2),t(3),Rho_zero,Cmin,Cmax,d+,d-,nn2,Rcut
Ag,Ag,10.1103/PhysRevB.68.144112,FCC_A1,107.868,2.85,2.880,0.6784,,,0.940,4.730,2.200,6.000,2.200,3.400,3.000,1.500,1.000,1.38,2.80,0.05,0.05,1,4.5
Al,Al,10.1103/PhysRevB.68.144112,FCC_A1,26.982,3.36,2.860,0.4955,,,1.160,3.200,2.600,6.000,2.600,3.050,0.510,7.750,1.000,0.49,2.80,0.05,0.05,1,4.5
Au,Au,10.1103/PhysRevB.68.144112,FCC_A1,196.967,3.93,2.880,1.1253,,,1.000,5.770,2.200,6.000,2.200,2.900,1.640,2.000,1.000,1.53,2.80,0.05,0.05,1,4.5
C,C,10.1016/j.calphad.2005.02.003,DIA_A4,12.011,7.37,1.540,2.7750,,,1.180,4.250,2.800,2.000,5.000,3.200,1.440,-4.480,6.000,1.41,2.80,0,0,1,2.75
C,CC,10.1016/j.jcrysgro.2013.12.007,DIA_A4,12.011,7.37,1.540,2.7750,,,1.180,4.250,2.800,2.000,5.000,3.200,1.440,-0.980,5.000,1.41,2.8,0,0,1,4
Ca,Ca,10.1016/j.calphad.2014.10.001,FCC_A1,40.078,1.84,3.946,0.1142,,,0.400,4.000,2.200,2.000,2.200,1.700,-7.700,6.000,1.000,0.98,2.8,0.05,0.05,1,6
Co,Co,10.1016/j.calphad.2012.04.001,HCP_A3,58.933,4.41,2.500,1.2157,,,0.900,3.500,0.000,0.000,4.000,3.000,5.000,-1.000,1.000,0.49,2.00,0,0,1,3.7
Cr,Cr,10.1103/PhysRevB.64.184102,BCC_A2,51.960,4.10,2.495,1.1864,,,0.420,6.810,1.000,1.000,1.000,0.300,5.900,-10.400,1.000,0.78,2.80,0,0,1,3.6
Cr,CR,10.1016/j.commatsci.2017.01.002,BCC_A2,51.960,4.10,2.495,1.1864,,,0.520,6.490,1.000,6.000,1.000,2.000,6.800,-8.000,1.000,0.71,2.80,0.02,0.1,1,4
Cu,Cu,10.1103/PhysRevB.68.144112,FCC_A1,63.546,3.54,2.555,0.8862,,,0.940,3.830,2.200,6.000,2.200,2.720,3.040,1.950,1.000,1.21,2.80,0.05,0.05,1,4
Fe,Fe,10.1103/PhysRevB.64.184102,BCC_A2,55.847,4.29,2.480,1.0797,,,0.560,4.150,1.000,1.000,1.000,2.600,1.800,-7.200,1.000,0.36,2.80,0.05,0.05,1,3.6
Ga,Ga,10.1103/PhysRevB.66.104107,FCC_A1,69.720,2.90,3.003,0.3290,,,0.970,4.800,3.100,6.000,0.500,2.720,2.060,-4.000,1.000,1.40,2.80,0.097,0.097,1,5
Ge,Ge,10.1016/j.calphad.2007.12.003,DIA_A4,72.590,3.85,2.450,0.4793,,,0.660,3.950,2.000,0.000,7.500,2.900,5.770,-2.200,1.880,1.41,2.80,0,0,1,4.5
H,H,10.1016/j.actamat.2007.08.041,DIMER,1.008,2.37,0.741,2.9600,,,2.500,2.960,3.000,3.000,2.500,0.200,-0.100,0.000,18.000,2.00,2.80,0,0,0,4
H,HH,10.1007/s11661-014-2230-4,DIMER,1.008,2.37,0.710,2.9600,,,3.200,1.260,1.200,1.200,2.000,1.200,0.500,-0.500,16.000,2,2.8,0,0,0,4
In,In,10.1016/j.calphad.2007.08.004,FCC_A1,114.820,2.51,3.328,0.2700,,,1.000,5.060,5.500,5.460,2.000,3.000,3.100,2.500,1.000,1.50,2.80,0.05,0.05,1,4.5
Li,Li,10.1088/0965-0393/20/3/035005,BCC_A2,6.940,1.65,3.020,0.0830,,,0.950,1.650,1.000,4.000,1.000,2.300,5.000,0.500,1.000,0.16,2.80,0.05,0.05,1,3.6
Mg,Mg,10.1016/j.calphad.2009.07.004,HCP_A3,24.320,1.55,3.200,0.2303,,,0.520,2.300,1.000,3.000,1.000,9.000,-2.000,-9.500,1.000,0.49,2.80,0,0,1,4.8
Mn,Mn,10.1016/j.actamat.2008.09.031,BCC_A2,54.940,2.90,2.530,0.8500,,,0.700,4.300,1.000,2.000,6.500,4.000,-3.000,-4.000,1.000,0.16,2.80,0,0,1,4
Mo,Mo,10.1103/PhysRevB.64.184102,BCC_A2,89.960,6.81,2.725,1.6557,,,0.460,7.030,1.000,1.000,1.000,0.500,3.100,-7.500,1.000,0.64,2.80,0,0,1,3.8
Mo,MO,10.1016/j.calphad.2017.09.005,BCC_A2,89.960,6.81,2.725,1.6557,,,0.610,5.950,9.000,3.000,1.000,2.000,7.750,-7.000,1.000,0.82,2.50,0,0,1,4.8
N,N,10.1016/j.actamat.2005.09.034,DIMER,14.007,4.88,1.100,5.9600,,,1.800,2.750,4.000,4.000,4.000,0.050,1.000,0.000,18.000,2.00,2.80,0,0,0,4
N,NN,10.1103/PhysRevB.46.2727,DIMER,14.007,4.88,1.100,5.9600,,,1.800,2.200,1.700,1.650,4.000,0.050,1.000,0.000,27.000,2,2.8,0,0,0,4
Nb,Nb,10.1103/PhysRevB.64.184102,BCC_A2,92.906,7.47,2.860,1.0797,,,0.720,5.080,1.000,2.500,1.000,1.700,2.800,-1.600,1.000,0.36,2.80,0,0,1,4
Nd,Nd,10.1088/0965-0393/2/1/011,HCP_A3,144.24,3.36,3.660,,,4.62027482826511,1.010,0.800,0.000,0.000,3.000,6.800,0.600,-3.000,1.000,2,2.8,0,0,1,6
Ni,Ni,10.1103/PhysRevB.68.144112,FCC_A1,58.690,4.45,2.490,1.1708,,,0.940,2.560,1.500,6.000,1.500,3.100,1.800,4.360,1.000,0.81,2.80,0.05,0.05,1,4
O,O,10.1103/physrevb.93.144110,DIMER,16.000,2.56,1.210,,,6.88,1.440,5.470,5.300,5.180,5.570,0.100,0.110,0.000,12.000,2.00,2.80,0,0,1,4.8
P,P,10.1088/0953-8984/24/22/225002,BCC_A2,30.974,2.72,2.600,0.6750,,,1.830,2.440,5.000,1.000,1.000,0.500,1.800,-1.000,1.000,1.48,2.80,0,0,1,4.5
Pb,Pb,10.1103/PhysRevB.68.144112,FCC_A1,207.200,2.04,3.500,0.3046,,,1.010,5.420,2.200,6.000,2.200,3.100,3.910,1.250,1.600,0.81,2.80,0,0,1,5.5
Pd,Pd,10.1103/PhysRevB.68.144112,FCC_A1,106.420,3.91,2.750,1.2201,,,0.940,5.150,2.200,6.000,2.200,4.500,1.470,4.850,1.000,1.69,2.80,0.05,0.05,1,4.5
Pt,Pt,10.1103/PhysRevB.68.144112,FCC_A1,195.080,5.77,2.770,1.7999,,,0.900,4.920,2.200,6.000,2.200,3.940,-2.200,3.840,1.000,1.53,2.80,0.05,0.05,1,4.5
Si,Si,10.1016/j.calphad.2006.10.002,DIA_A4,28.086,4.63,2.350,0.6191,,,0.580,3.550,2.500,0.000,7.500,1.800,5.250,-2.610,1.880,1.41,2.80,0,0,1,4.5
Sn,Sn,10.1103/PhysRevLett.79.2482,FCC_A1,118.71,3.08,3.440,,,0.7323,1.000,6.200,6.000,6.000,6.000,4.500,6.500,-0.183,1.600,0.8,2.8,0,0,1,6
Ta,Ta,10.1103/PhysRevB.64.184102,BCC_A2,180.948,8.09,2.860,1.2120,,,0.670,4.490,1.000,1.000,1.000,1.700,2.100,-3.200,1.000,0.25,2.80,0,0,1,4
Ti,Ti,10.1103/PhysRevB.74.014101,HCP_A3,47.880,4.87,2.920,0.6846,,,0.660,2.700,1.000,3.000,1.000,6.800,-2.000,-12.000,1.000,1.00,1.44,0,0,1,4.8
