El1,El2,El3,Sym1,Sym2,Sym3,DOI,Cmax_ikj,Cmax_ijk,Cmax_jik,Cmin_ikj,Cmin_ijk,Cmin_jik,Rcut,AU
Al,V,H,Al,V,H,10.1016/j.memsci.2012.12.019,2.8,2.8,2.8,0.49,0.56,0.56,4.7,WS
Ca,Zn,Mg,Ca,Zn,Mg,10.1016/j.calphad.2019.101674,2.54,2.54,2.8,1.46,1.46,0.83,6,
Fe,Cu,Ni,Fe,Cu,Ni,,0,0,0,0,0,0,,BJ
Fe,Nb,N,Fe,Nb,N,10.1557/jmr.2010.0182,1.71,2.8,2.8,0.25,0.49,0.49,4.5,HK
Fe,Ti,C,Fe,Ti,C,10.1016/j.actamat.2009.03.019,2.06,2.8,2.8,0.49,0.56,0.56,4.8,HK
Fe,Ti,N,Fe,Ti,N,10.1016/j.actamat.2009.03.019,2.06,2.06,2.06,0.16,0.42,0.42,4.8,HK
Ga,Al,N,Ga,Al,NN,,,,,0,0,0,,EC
Ga,In,As,Ga,In,As,,,,,0,0,0,,JW
Ga,In,N,Ga,In,NN,10.1088/0953-8984/21/32/325801,2.8,2.8,2.8,1.45,1.71,1.71,5.2,EC
Nb,Fe,C,Nb,Fe,C,10.1557/jmr.2010.0182,2.064,2.8,2.8,0.42,0.82,0.82,4.5,HK
Ni,Al,Co,Ni,Al,Co,10.1088/0965-0393/23/5/055004,1.44,2.38,1.44,0.56,0.97,0.56,4.5,
Ni,Al,Ti,Ni,Al,Ti,10.1016/j.commatsci.2017.08.002,1.44,1.44,2.8,0.58,0.44,0.72,5,
Ni,Cr,Fe,Ni,CR,Fe,10.1016/j.calphad.2017.03.007,2.8,2.8,2.06,0.657,0.657,0.64,4,
Ni,V,H,Ni,V,H,10.1016/j.memsci.2012.12.019,2.38,2.8,2.8,0.16,1.15,1.15,4,WS
V,Pd,Y,V,Pd,Y,10.1088/0965-0393/21/8/085008,2.8,2.063992032,2.8,0.942492236,0.397046505,1.794427191,6,WS
Zr,Ag,Cu,Zr,Ag,Cu,10.1016/j.scriptamat.2009.07.002,2.06,2.06,1.44,1.14,1.14,1.1,5,KH
Zr,Cu,H,Zr,Cu,HH,10.1007/s11661-014-2230-4,2.46,2.8,2.8,0.57,1.29,1.29,5,BM
